\,house_noplumbing_%,house_nokitchen_%,house_lt1939_%,house_1940to1999_%,house_2000to2014_%,median_owner_home_USD,median_sale_homes_USD,house_income_gt30_USD_%,gross_rent_%,property_val_USD,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,homeless_Shelters_per_1000,moved_lastyear_%,renter_occupied_%,vacant_rentals_%,owner_homes_%,occ_lt0.5_%,occ_0.5to1.0_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%
house_noplumbing_%,0.0,7.685782164197929e-112,0.3381066554583182,0.0853017094884718,0.08363231541014722,0.3329148508074701,0.08355391351623428,0.0038786293296807616,0.8670210923662403,0.2734992246669762,0.304241984506605,0.00016915332685929374,0.7156524487559757,0.34709400789854006,0.0006125696052912581,0.02319497744018266,0.07686322417735329,0.5421095551501717,0.9621115046444375,0.040472111159365956,0.025247157798646776,0.8021256769667415,0.22707894780232582,0.0035481562120212714,0.02667200723045936,0.03533579304514737,0.07122651842894157,0.6453748616993804,0.30212440812048763,4.453051845247739e-05,0.8181414804338721,0.4064287853069827
house_nokitchen_%,7.685782164197929e-112,0.0,0.748082106274212,0.2021534565458432,0.02292157388326144,0.00500832514011308,0.11287664825809256,0.0005516881726755373,0.4925370915530899,0.45975720296819844,0.0005034515544116998,8.802893066454828e-05,0.8608790897190541,0.38504795528742664,3.4175386406143997e-10,0.0867280165503416,0.0015487656162734085,0.7197960571066838,0.15015374890323577,0.2127396836802985,0.16970682773255094,0.0043524706674300685,0.34300052246323,0.02357661859676292,0.892082749220841,0.1325702485667144,0.8542444529811279,0.5239029948282383,0.8408503392343718,0.00047465587811914054,0.3907518948784844,0.3489188061846127
house_lt1939_%,0.3381066554583182,0.748082106274212,0.0,3.2827410554089857e-149,5.344271856222887e-23,0.009621704983018916,0.2417336495301327,7.487377276149429e-13,0.4938346973307488,0.7876015743242114,0.00539067099918784,0.40717644346630777,0.8145536585052122,0.20715713586891116,0.009937417842900724,0.028984846037479754,0.46346753282012165,0.4342197391885835,0.008000784291273636,0.7304121327944213,0.30651663741562013,0.01701198171192043,0.00017842577711068292,1.996844098658253e-09,4.477106990897e-37,8.815439026864903e-08,5.95469014252691e-35,0.00014489969162328098,0.002343372489671115,6.786707096535234e-08,0.0002000764415911498,0.0514609310165494
house_1940to1999_%,0.0853017094884718,0.2021534565458432,3.2827410554089857e-149,0.0,0.013843755518429542,0.07927113832346555,0.5183887060446442,9.63835133220936e-10,0.9094701574900232,0.6013654856867043,0.0043218146016146845,0.3446535721200983,0.34249197829488154,0.5060247648113002,0.009183015212036969,0.26785407671392164,0.12071626730075322,0.4758726314867803,0.07494298262194103,0.8015862414475688,0.3160783820342428,0.02800001364209655,0.0038483906002926287,6.366706193739049e-06,4.197645024873462e-26,1.928874923725974e-05,2.321995501617956e-24,0.0006558970942543564,0.006587408061777746,7.579262062998508e-07,0.000704479809946764,0.09895640714532132
house_2000to2014_%,0.08363231541014722,0.02292157388326144,5.344271856222887e-23,0.013843755518429542,0.0,0.016509334809355146,0.21884052808528048,3.3622503965127514e-06,0.030620643245899956,0.044601566624953085,0.4893416562582579,0.8654889836806605,0.14615152094793468,0.10081953783347443,0.5323228625193699,0.0006273621667751481,0.10476572855155272,0.7673402145115868,0.002222364288699711,0.7419066362467739,0.7773328921122605,0.16644843024741265,0.0012357380802187237,8.146458996286384e-08,7.248741954407023e-15,1.2691900543461614e-05,1.2839598936154802e-14,0.029894982483708275,0.07267720906472741,0.006117348768893071,0.05796463839998571,0.1977501909644942
median_owner_home_USD,0.3329148508074701,0.00500832514011308,0.009621704983018916,0.07927113832346555,0.016509334809355146,0.0,2.0482609516365128e-71,0.0017073312465474533,0.6154879691287893,0.0013732406368352666,0.49063347153658965,0.029382411167624627,0.022131232890151186,0.09818951819874343,0.0001465537582408018,0.004158496154691468,0.008978431114190928,8.297383891927422e-05,0.0038649419535431682,0.23315505834580993,0.4956568236154524,6.080461158353477e-07,0.959907664091581,0.7339842301220715,0.08486024281575817,0.8303839318606253,0.026642609618308947,2.520190801861097e-06,8.137362425741665e-06,0.00016407148627231837,0.7559716051711556,0.005223440034421908
median_sale_homes_USD,0.08355391351623428,0.11287664825809256,0.2417336495301327,0.5183887060446442,0.21884052808528048,2.0482609516365128e-71,0.0,0.019774381531929015,0.9668985700002125,0.01012574075740152,0.5169993086012545,0.012807092778243198,0.16187475711713065,0.250882899883533,0.001058153233520433,0.006333988263372323,0.13097904956987347,4.898581185319053e-05,0.0026820394068457704,0.543061787541169,0.7619678572736113,0.00032966233070392376,0.5755512130069798,0.12665289781518002,0.5556349571397639,0.5746469338784121,0.5233006322548044,0.005622397125300178,0.014474553151870581,0.001391830759200992,0.8244366571647974,0.023888618960163154
house_income_gt30_USD_%,0.0038786293296807616,0.0005516881726755373,7.487377276149429e-13,9.63835133220936e-10,3.3622503965127514e-06,0.0017073312465474533,0.019774381531929015,0.0,0.06674971744533247,0.41051445805480047,2.6878807463040997e-19,8.784521277668159e-06,0.0008980397752830587,2.1301517368340442e-08,2.0959672020653744e-29,0.003957015766696877,0.3832170223378619,0.9988282952124682,0.5402135991274993,0.12358734926919993,0.7458969972676488,0.04954788368907551,0.003813039501463153,1.7468122848200883e-13,4.47692968716405e-27,4.890673420175037e-07,1.1502355617355384e-26,2.3191409117976517e-07,1.4294551943947946e-06,0.0012379382123810583,5.926754716396968e-06,0.07929735571762554
gross_rent_%,0.8670210923662403,0.4925370915530899,0.4938346973307488,0.9094701574900232,0.030620643245899956,0.6154879691287893,0.9668985700002125,0.06674971744533247,0.0,0.534505186811282,1.0816548652797009e-06,0.06328043432859709,0.5370717263197713,0.0015135606091362661,9.06149424375454e-07,0.3676451921449492,0.6240955862056417,0.86737031835682,0.5025183618624455,0.9195582684920753,0.08991012608520846,0.010694096782846987,0.48114084140743985,0.0035635235429299543,0.08335535995220066,0.4933894818568969,0.03862101837969125,0.24055657373256562,0.12441398361178198,0.32483096818781865,0.04507590990508511,0.4354319513369084
property_val_USD,0.2734992246669762,0.45975720296819844,0.7876015743242114,0.6013654856867043,0.044601566624953085,0.0013732406368352666,0.01012574075740152,0.41051445805480047,0.534505186811282,0.0,0.7956053914997834,0.6675991277960198,0.655773561913463,0.47860695248718144,0.9484310496075672,0.864683235290051,0.5343112462213628,0.7874978673006863,0.6495656206247149,0.11969484304137883,0.26847826595099755,0.16464588065873562,0.572505217160056,0.39010790136685747,0.18170703063499544,0.1384007626572364,0.21445759017835903,0.7964639451578017,0.7839402873501928,0.9994084478108424,0.3985737375954772,0.46163643382451824
costas%income_wmgage_lt20%_%,0.304241984506605,0.0005034515544116998,0.00539067099918784,0.0043218146016146845,0.4893416562582579,0.49063347153658965,0.5169993086012545,2.6878807463040997e-19,1.0816548652797009e-06,0.7956053914997834,0.0,0.17212397075390434,5.523897703722897e-06,7.487128824668585e-10,1.4121403829931532e-50,2.139974780532054e-06,0.05055885930946115,0.0902862097798367,0.21185823450894856,0.007855610430405072,0.12773026678497681,4.809042686811851e-06,0.1391769760632717,0.7160451780146724,7.931158942421569e-06,0.22081040523751322,0.00013710814600743646,0.015678399540714618,0.03819507625414507,0.0012404805859139055,0.08541140188884107,0.7954644776641916
costas%income_wmgage_20to25%_%,0.00016915332685929374,8.802893066454828e-05,0.40717644346630777,0.3446535721200983,0.8654889836806605,0.029382411167624627,0.012807092778243198,8.784521277668159e-06,0.06328043432859709,0.6675991277960198,0.17212397075390434,0.0,0.0153337000252421,0.9941403247032011,4.0364338154782066e-19,0.8352055365254177,0.8735730672424612,0.46695304053402287,0.479522740283607,0.009369304611999987,0.8327278446500866,0.14389790014180387,0.8540386158988882,0.3002032709011344,0.9396839690214231,0.17949793517020973,0.405576222049454,0.012590176144513524,0.0015617081071782626,0.03496519371382468,0.16241356387116168,0.7590885219931701
costas%income_wmgage_25to30%_%,0.7156524487559757,0.8608790897190541,0.8145536585052122,0.34249197829488154,0.14615152094793468,0.022131232890151186,0.16187475711713065,0.0008980397752830587,0.5370717263197713,0.655773561913463,5.523897703722897e-06,0.0153337000252421,0.0,0.001285738023888757,0.03208766486138135,0.6592630961223787,0.8628317367593207,0.10412699943269124,0.16076218584546592,0.03360922209153428,0.790517261983549,0.9771177569462463,0.6641598448385633,0.7795993945314658,0.19788964579112192,0.5456543436452167,0.3475221918340091,0.13346192828352185,0.13116119000090945,0.16707271175383517,0.36828920396267695,0.7981014638236424
costas%income_wmgage_30to35%_%,0.34709400789854006,0.38504795528742664,0.20715713586891116,0.5060247648113002,0.10081953783347443,0.09818951819874343,0.250882899883533,2.1301517368340442e-08,0.0015135606091362661,0.47860695248718144,7.487128824668585e-10,0.9941403247032011,0.001285738023888757,0.0,0.9088669202569059,0.0013280854857805557,0.5815910479099154,0.13152499520688782,0.006801779657094243,0.3914789280544414,0.8387876676460857,0.10257378195519248,0.49264667685294294,0.9811086422298845,0.26296113263422016,0.3471967676640625,0.22181647775525237,0.11692033541653192,0.10960242003657149,0.54210268326005,0.2298414946685175,0.6035478331601967
costas%income_wmgage_gt35%_%,0.0006125696052912581,3.4175386406143997e-10,0.009937417842900724,0.009183015212036969,0.5323228625193699,0.0001465537582408018,0.001058153233520433,2.0959672020653744e-29,9.06149424375454e-07,0.9484310496075672,1.4121403829931532e-50,4.0364338154782066e-19,0.03208766486138135,0.9088669202569059,0.0,0.003041363401810064,0.05096361492640789,0.8547099454733871,0.8828418212623427,0.013104577295414893,0.1565503058161561,2.631364064247057e-06,0.16358420088840395,0.6898243622214902,0.0013553501868107086,0.7911320259195433,0.0011507003015499978,0.63107203509778,0.2233150180606125,0.000527847097545146,0.013175619937422132,0.8637590723388331
costas%income_womgage_lt10%_%,0.02319497744018266,0.0867280165503416,0.028984846037479754,0.26785407671392164,0.0006273621667751481,0.004158496154691468,0.006333988263372323,0.003957015766696877,0.3676451921449492,0.864683235290051,2.139974780532054e-06,0.8352055365254177,0.6592630961223787,0.0013280854857805557,0.003041363401810064,0.0,3.220110274947076e-14,1.6783435768567562e-07,9.605963293375736e-08,1.1863927832670188e-08,5.426068234577789e-06,2.396276578039233e-13,0.027723065757286072,0.06860061948184384,0.00622374403915876,0.19965608948673338,0.015717591211074772,0.004747706024123959,0.011633070400315186,0.017657995277240428,0.025720568843408818,0.09780481233092357
costas%income_womgage_10to15%_%,0.07686322417735329,0.0015487656162734085,0.46346753282012165,0.12071626730075322,0.10476572855155272,0.008978431114190928,0.13097904956987347,0.3832170223378619,0.6240955862056417,0.5343112462213628,0.05055885930946115,0.8735730672424612,0.8628317367593207,0.5815910479099154,0.05096361492640789,3.220110274947076e-14,0.0,5.730653336164403e-06,0.44089977428168114,0.9270346863044827,0.9021071594195098,4.317841423987735e-08,0.8057503022398216,0.4063120638768536,0.10630523742916168,0.44839407923918906,0.11922042095925396,0.9495635715001541,0.9477275201761719,0.8810618775539891,0.7395389643590415,0.9570945239301608
costas%income_womgage_15to20%_%,0.5421095551501717,0.7197960571066838,0.4342197391885835,0.4758726314867803,0.7673402145115868,8.297383891927422e-05,4.898581185319053e-05,0.9988282952124682,0.86737031835682,0.7874978673006863,0.0902862097798367,0.46695304053402287,0.10412699943269124,0.13152499520688782,0.8547099454733871,1.6783435768567562e-07,5.730653336164403e-06,0.0,0.046890706882445315,0.04408984797474949,0.2899810241521058,0.2912853710315621,0.5404325072416698,0.8951403534601359,0.5831089334332795,0.7643744213321887,0.4316039530569712,0.015946042819911705,0.017941300580298372,0.14332841641777458,0.3825473861353289,0.6145042771316864
costas%income_womgage_20to25%_%,0.9621115046444375,0.15015374890323577,0.008000784291273636,0.07494298262194103,0.002222364288699711,0.0038649419535431682,0.0026820394068457704,0.5402135991274993,0.5025183618624455,0.6495656206247149,0.21185823450894856,0.479522740283607,0.16076218584546592,0.006801779657094243,0.8828418212623427,9.605963293375736e-08,0.44089977428168114,0.046890706882445315,0.0,0.041060838730279624,0.0056375881004619745,0.6063346077995588,0.530024231297038,0.19578191572850281,0.3379145652876294,0.11781877847812362,0.5005794041077041,0.4769781537546478,0.48352027939564746,0.9549857141706726,0.7835149666574542,0.11544328585616799
costas%income_womgage_25to30%_%,0.040472111159365956,0.2127396836802985,0.7304121327944213,0.8015862414475688,0.7419066362467739,0.23315505834580993,0.543061787541169,0.12358734926919993,0.9195582684920753,0.11969484304137883,0.007855610430405072,0.009369304611999987,0.03360922209153428,0.3914789280544414,0.013104577295414893,1.1863927832670188e-08,0.9270346863044827,0.04408984797474949,0.041060838730279624,0.0,0.14972171159880296,0.43434891698616673,0.22868661941377455,0.103364474810093,0.40351753877964525,0.4541006446657141,0.39874759068036936,0.7401523920196735,0.858773335570154,0.6969850770263667,0.06687000079491576,0.9201604815121172
costas%income_womgage_30to35%_%,0.025247157798646776,0.16970682773255094,0.30651663741562013,0.3160783820342428,0.7773328921122605,0.4956568236154524,0.7619678572736113,0.7458969972676488,0.08991012608520846,0.26847826595099755,0.12773026678497681,0.8327278446500866,0.790517261983549,0.8387876676460857,0.1565503058161561,5.426068234577789e-06,0.9021071594195098,0.2899810241521058,0.0056375881004619745,0.14972171159880296,0.0,0.5517327308271711,0.00017508927066752885,0.16789814502926628,0.032643308996929646,0.02303839216905029,0.04613122237966788,0.025933209552020796,0.04554099382557058,0.07094814109676632,0.07277732199629097,0.19741904551117623
costas%income_womgage_gt35%_%,0.8021256769667415,0.0043524706674300685,0.01701198171192043,0.02800001364209655,0.16644843024741265,6.080461158353477e-07,0.00032966233070392376,0.04954788368907551,0.010694096782846987,0.16464588065873562,4.809042686811851e-06,0.14389790014180387,0.9771177569462463,0.10257378195519248,2.631364064247057e-06,2.396276578039233e-13,4.317841423987735e-08,0.2912853710315621,0.6063346077995588,0.43434891698616673,0.5517327308271711,0.0,0.2535769611384149,0.25439789786272804,0.0013746287078280986,0.17950506543334427,0.007449271436001994,0.6859154954535774,0.8377233011919023,0.33556487137449764,0.2646220890609123,0.6800370389621326
homeless_Shelters_per_1000,0.22707894780232582,0.34300052246323,0.00017842577711068292,0.0038483906002926287,0.0012357380802187237,0.959907664091581,0.5755512130069798,0.003813039501463153,0.48114084140743985,0.572505217160056,0.1391769760632717,0.8540386158988882,0.6641598448385633,0.49264667685294294,0.16358420088840395,0.027723065757286072,0.8057503022398216,0.5404325072416698,0.530024231297038,0.22868661941377455,0.00017508927066752885,0.2535769611384149,0.0,1.94759693215385e-06,6.327527049836534e-10,0.00018014863603324063,1.1285311219668728e-10,0.001257945582542902,0.002711120963865678,0.030522719964104713,0.01051873312070229,0.19769962699315627
moved_lastyear_%,0.0035481562120212714,0.02357661859676292,1.996844098658253e-09,6.366706193739049e-06,8.146458996286384e-08,0.7339842301220715,0.12665289781518002,1.7468122848200883e-13,0.0035635235429299543,0.39010790136685747,0.7160451780146724,0.3002032709011344,0.7795993945314658,0.9811086422298845,0.6898243622214902,0.06860061948184384,0.4063120638768536,0.8951403534601359,0.19578191572850281,0.103364474810093,0.16789814502926628,0.25439789786272804,1.94759693215385e-06,0.0,3.405091397257591e-34,1.4351283621362013e-07,3.299183655853101e-46,3.1808609507121744e-08,2.5750579645814406e-07,2.5541365426328772e-05,8.048081421844897e-08,0.7214544185969773
renter_occupied_%,0.02667200723045936,0.892082749220841,4.477106990897e-37,4.197645024873462e-26,7.248741954407023e-15,0.08486024281575817,0.5556349571397639,4.47692968716405e-27,0.08335535995220066,0.18170703063499544,7.931158942421569e-06,0.9396839690214231,0.19788964579112192,0.26296113263422016,0.0013553501868107086,0.00622374403915876,0.10630523742916168,0.5831089334332795,0.3379145652876294,0.40351753877964525,0.032643308996929646,0.0013746287078280986,6.327527049836534e-10,3.405091397257591e-34,0.0,2.0098187450855142e-17,7.135880618582833e-183,1.7016161390890188e-32,4.8340636658660245e-27,2.071803552848848e-19,7.092407714579778e-21,0.011646369019040067
vacant_rentals_%,0.03533579304514737,0.1325702485667144,8.815439026864903e-08,1.928874923725974e-05,1.2691900543461614e-05,0.8303839318606253,0.5746469338784121,4.890673420175037e-07,0.4933894818568969,0.1384007626572364,0.22081040523751322,0.17949793517020973,0.5456543436452167,0.3471967676640625,0.7911320259195433,0.19965608948673338,0.44839407923918906,0.7643744213321887,0.11781877847812362,0.4541006446657141,0.02303839216905029,0.17950506543334427,0.00018014863603324063,1.4351283621362013e-07,2.0098187450855142e-17,0.0,8.702470663308426e-17,2.8888274947063197e-13,1.3730043538716413e-12,1.800436694598968e-06,0.0017184488742659247,0.35538934975252834
owner_homes_%,0.07122651842894157,0.8542444529811279,5.95469014252691e-35,2.321995501617956e-24,1.2839598936154802e-14,0.026642609618308947,0.5233006322548044,1.1502355617355384e-26,0.03862101837969125,0.21445759017835903,0.00013710814600743646,0.405576222049454,0.3475221918340091,0.22181647775525237,0.0011507003015499978,0.015717591211074772,0.11922042095925396,0.4316039530569712,0.5005794041077041,0.39874759068036936,0.04613122237966788,0.007449271436001994,1.1285311219668728e-10,3.299183655853101e-46,7.135880618582833e-183,8.702470663308426e-17,0.0,6.125114499513956e-31,3.2903133408767894e-25,1.2724939066636955e-19,1.7637077732268059e-22,0.0023354215376721397
occ_lt0.5_%,0.6453748616993804,0.5239029948282383,0.00014489969162328098,0.0006558970942543564,0.029894982483708275,2.520190801861097e-06,0.005622397125300178,2.3191409117976517e-07,0.24055657373256562,0.7964639451578017,0.015678399540714618,0.012590176144513524,0.13346192828352185,0.11692033541653192,0.63107203509778,0.004747706024123959,0.9495635715001541,0.015946042819911705,0.4769781537546478,0.7401523920196735,0.025933209552020796,0.6859154954535774,0.001257945582542902,3.1808609507121744e-08,1.7016161390890188e-32,2.8888274947063197e-13,6.125114499513956e-31,0.0,4.057982826083415e-279,7.318477500525232e-28,1.5298348345427587e-19,0.00030726727071696454
occ_0.5to1.0_%,0.30212440812048763,0.8408503392343718,0.002343372489671115,0.006587408061777746,0.07267720906472741,8.137362425741665e-06,0.014474553151870581,1.4294551943947946e-06,0.12441398361178198,0.7839402873501928,0.03819507625414507,0.0015617081071782626,0.13116119000090945,0.10960242003657149,0.2233150180606125,0.011633070400315186,0.9477275201761719,0.017941300580298372,0.48352027939564746,0.858773335570154,0.04554099382557058,0.8377233011919023,0.002711120963865678,2.5750579645814406e-07,4.8340636658660245e-27,1.3730043538716413e-12,3.2903133408767894e-25,4.057982826083415e-279,0.0,2.276877562800536e-16,5.689735977794705e-13,0.01653158822193242
occ_1.01to1.5_%,4.453051845247739e-05,0.00047465587811914054,6.786707096535234e-08,7.579262062998508e-07,0.006117348768893071,0.00016407148627231837,0.001391830759200992,0.0012379382123810583,0.32483096818781865,0.9994084478108424,0.0012404805859139055,0.03496519371382468,0.16707271175383517,0.54210268326005,0.000527847097545146,0.017657995277240428,0.8810618775539891,0.14332841641777458,0.9549857141706726,0.6969850770263667,0.07094814109676632,0.33556487137449764,0.030522719964104713,2.5541365426328772e-05,2.071803552848848e-19,1.800436694598968e-06,1.2724939066636955e-19,7.318477500525232e-28,2.276877562800536e-16,0.0,1.108016749322644e-14,0.1013807984126703
occ_1.51to2.0_%,0.8181414804338721,0.3907518948784844,0.0002000764415911498,0.000704479809946764,0.05796463839998571,0.7559716051711556,0.8244366571647974,5.926754716396968e-06,0.04507590990508511,0.3985737375954772,0.08541140188884107,0.16241356387116168,0.36828920396267695,0.2298414946685175,0.013175619937422132,0.025720568843408818,0.7395389643590415,0.3825473861353289,0.7835149666574542,0.06687000079491576,0.07277732199629097,0.2646220890609123,0.01051873312070229,8.048081421844897e-08,7.092407714579778e-21,0.0017184488742659247,1.7637077732268059e-22,1.5298348345427587e-19,5.689735977794705e-13,1.108016749322644e-14,0.0,0.01830383194765402
occ_gt2.01_%,0.4064287853069827,0.3489188061846127,0.0514609310165494,0.09895640714532132,0.1977501909644942,0.005223440034421908,0.023888618960163154,0.07929735571762554,0.4354319513369084,0.46163643382451824,0.7954644776641916,0.7590885219931701,0.7981014638236424,0.6035478331601967,0.8637590723388331,0.09780481233092357,0.9570945239301608,0.6145042771316864,0.11544328585616799,0.9201604815121172,0.19741904551117623,0.6800370389621326,0.19769962699315627,0.7214544185969773,0.011646369019040067,0.35538934975252834,0.0023354215376721397,0.00030726727071696454,0.01653158822193242,0.1013807984126703,0.01830383194765402,0.0
