index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Abington,0.24,0.43,0.22,0.49,0.8,0.06,0.17,0.14,0.32
Acton,0.13,0.47,0.15,0.92,0.7,0.22,0.31,0.11,0.38
Acushnet,0.05,0.65,0.06,0.53,0.53,0.0,0.12,0.12,0.26
Adams,0.08,0.53,0.21,0.37,0.56,0.0,0.1,0.13,0.25
Agawam,0.06,0.5,0.22,0.48,0.6,0.1,0.12,0.12,0.28
Alford,0.21,0.97,0.22,0.77,0.5,0.0,0.27,0.13,0.38
Amesbury,0.12,0.48,0.21,0.57,0.78,0.11,0.17,0.14,0.32
Amherst,0.54,0.41,0.02,0.71,0.26,0.11,0.24,0.12,0.3
Andover,0.17,0.45,0.09,0.69,0.64,0.25,0.35,0.14,0.35
Aquinnah,0.3,0.88,0.11,0.38,0.49,0.07,1.0,0.15,0.42
Arlington,0.44,0.46,0.26,0.73,0.79,0.0,0.3,0.12,0.39
Ashburnham,0.1,0.89,0.42,0.48,0.79,0.14,0.14,0.12,0.38
Ashby,0.04,0.89,0.12,0.36,0.64,0.05,0.17,0.18,0.31
Ashfield,0.08,0.96,0.31,0.45,0.89,0.0,0.11,0.0,0.35
Ashland,0.18,0.47,0.31,0.61,0.91,0.0,0.36,0.11,0.37
Athol,0.13,0.95,0.19,0.41,0.36,0.14,0.07,0.17,0.3
Attleboro,0.16,0.46,0.23,0.51,0.69,0.13,0.11,0.14,0.3
Auburn,0.04,0.5,0.32,0.49,0.54,0.15,0.09,0.16,0.29
Avon,0.17,0.45,0.29,0.33,0.65,0.32,0.17,0.14,0.32
Ayer,0.12,0.49,0.11,0.82,0.79,0.08,0.16,0.15,0.34
Barnstable,0.1,0.5,0.22,0.55,0.52,0.05,0.17,0.2,0.29
Barre,0.05,0.94,0.35,0.3,0.74,0.33,0.18,0.16,0.38
Becket,0.04,0.96,0.23,0.93,0.7,0.05,0.1,0.11,0.39
Bedford,0.11,0.46,0.74,0.67,0.62,0.01,0.36,0.11,0.38
Belchertown,0.11,0.75,0.15,0.57,0.86,0.32,0.15,0.13,0.38
Bellingham,0.11,0.49,0.15,0.42,0.9,0.08,0.2,0.16,0.31
Belmont,0.36,0.45,0.31,0.76,0.69,0.13,0.38,0.11,0.4
Berkley,0.05,0.73,0.19,0.66,0.86,0.32,0.1,0.12,0.38
Berlin,0.07,0.79,0.09,0.57,0.81,0.0,0.26,0.15,0.34
Bernardston,0.07,0.96,0.21,0.32,0.61,0.0,0.15,0.11,0.3
Beverly,0.25,0.47,0.18,0.55,0.66,0.14,0.22,0.12,0.32
Billerica,0.1,0.47,0.2,0.47,0.75,0.24,0.18,0.16,0.32
Blackstone,0.05,0.5,0.15,0.43,0.9,0.15,0.13,0.13,0.3
Blandford,0.05,0.96,0.3,0.37,0.62,0.06,0.17,0.22,0.34
Bolton,0.06,0.91,0.1,0.72,0.89,0.0,0.35,0.15,0.4
Boston,0.92,0.0,0.15,0.27,0.78,0.07,0.21,0.18,0.32
Bourne,0.08,0.52,0.26,0.49,0.51,0.27,0.17,0.15,0.31
Boxborough,0.16,0.44,0.12,0.92,0.69,0.15,0.35,0.15,0.37
Boxford,0.08,0.74,0.22,0.78,0.68,0.11,0.45,0.1,0.4
Boylston,0.05,0.68,0.44,0.57,0.79,0.0,0.26,0.11,0.36
Braintree,0.29,0.46,0.24,0.57,0.61,0.07,0.2,0.15,0.32
Brewster,0.08,0.59,0.1,0.61,0.44,0.33,0.19,0.13,0.31
Bridgewater,0.18,0.48,0.07,0.51,0.67,0.12,0.19,0.13,0.29
Brimfield,0.04,0.95,0.13,0.63,0.63,0.14,0.11,0.11,0.34
Brockton,0.24,0.4,0.16,0.29,0.42,0.01,0.12,0.18,0.23
Brookfield,0.03,0.95,0.33,0.8,0.58,0.15,0.1,0.13,0.38
Brookline,0.89,0.44,0.38,0.78,0.78,0.0,0.55,0.1,0.49
Buckland,0.11,0.95,0.16,0.45,0.61,0.58,0.12,0.13,0.39
Burlington,0.12,0.45,0.19,0.53,0.58,0.02,0.37,0.12,0.3
Cambridge,1.0,0.42,0.11,0.57,0.79,0.29,0.62,0.12,0.49
Canton,0.3,0.46,0.39,0.59,0.65,0.28,0.23,0.12,0.38
Carlisle,0.08,0.86,0.27,0.82,0.63,0.26,0.54,0.0,0.43
Carver,0.06,0.59,0.17,0.51,0.62,0.06,0.16,0.12,0.29
Charlemont,0.11,0.95,0.16,0.36,0.34,0.1,0.08,0.19,0.29
Charlton,0.02,0.81,0.21,0.23,0.68,0.0,0.15,0.12,0.28
Chatham,0.09,0.52,0.09,0.41,0.25,0.0,0.34,0.11,0.23
Chelmsford,0.1,0.47,0.26,0.61,0.67,0.19,0.24,0.11,0.33
Chelsea,0.78,0.41,0.14,0.2,0.43,0.35,0.16,0.17,0.33
Cheshire,0.02,0.71,0.41,0.37,0.43,0.14,0.06,0.08,0.28
Chester,0.07,0.95,0.2,0.67,0.72,0.0,0.09,0.16,0.36
Chesterfield,0.02,0.95,0.25,0.37,0.72,0.0,0.11,0.1,0.31
Chicopee,0.1,0.46,0.21,0.44,0.45,0.0,0.11,0.15,0.24
Chilmark,0.12,0.95,0.0,0.4,0.66,0.13,0.73,0.13,0.39
Clarksburg,0.04,0.95,0.16,0.81,0.6,0.0,0.08,0.22,0.36
Clinton,0.1,0.47,0.15,0.36,0.77,0.0,0.16,0.11,0.26
Cohasset,0.36,0.49,0.2,0.66,0.54,0.09,0.45,0.12,0.36
Colrain,0.09,0.95,0.25,0.29,0.59,0.32,0.09,0.14,0.34
Concord,0.2,0.54,0.26,0.82,0.47,0.01,0.41,0.11,0.35
Conway,0.09,0.96,0.25,0.39,0.89,0.4,0.13,0.15,0.41
Cummington,0.1,0.95,0.18,0.53,0.47,0.0,0.12,0.12,0.31
Dalton,0.04,0.62,0.13,0.35,0.52,0.0,0.1,0.12,0.24
Danvers,0.12,0.48,0.15,0.48,0.62,0.1,0.23,0.13,0.29
Dartmouth,0.14,0.57,0.13,0.54,0.37,0.38,0.15,0.13,0.3
Dedham,0.28,0.47,0.16,0.52,0.59,0.23,0.22,0.11,0.32
Deerfield,0.23,0.94,0.17,0.35,0.68,0.21,0.21,0.17,0.37
Dennis,0.07,0.52,0.19,0.48,0.17,0.17,0.18,0.15,0.24
Dighton,0.04,0.73,0.21,0.56,0.8,0.1,0.2,0.18,0.35
Douglas,0.06,0.75,0.14,0.53,0.92,0.0,0.14,0.12,0.33
Dover,0.23,0.6,1.0,0.82,0.63,0.07,0.7,0.11,0.52
Dracut,0.1,0.49,0.23,0.48,0.73,0.2,0.18,0.11,0.32
Dudley,0.09,0.56,0.13,0.55,0.58,0.12,0.12,0.13,0.29
Dunstable,0.05,0.87,0.05,0.66,0.88,0.03,0.33,0.13,0.38
Duxbury,0.12,0.5,0.25,0.69,0.49,0.0,0.35,0.11,0.31
East Bridgewater,0.09,0.5,0.19,0.42,0.75,0.34,0.13,0.12,0.32
East Brookfield,0.07,0.94,0.2,0.49,0.94,0.04,0.14,0.16,0.37
East Longmeadow,0.09,0.48,0.25,0.51,0.55,0.0,0.13,0.13,0.27
Eastham,0.11,0.52,0.2,0.63,0.22,0.44,0.2,0.14,0.31
Easthampton,0.13,0.5,0.14,0.57,0.66,0.12,0.11,0.13,0.3
Easton,0.17,0.48,0.19,0.56,0.77,0.09,0.16,0.12,0.32
Edgartown,0.26,0.95,0.05,0.58,0.73,0.17,0.35,0.13,0.4
Egremont,0.06,0.97,0.2,0.38,0.65,0.14,0.16,0.09,0.33
Erving,0.12,0.95,0.19,0.67,0.7,0.0,0.08,1.0,0.46
Essex,0.23,0.68,0.21,0.88,0.61,0.0,0.37,0.08,0.38
Everett,0.54,0.42,0.14,0.22,0.62,0.16,0.13,0.15,0.3
Fairhaven,0.06,0.49,0.3,0.5,0.46,0.12,0.1,0.13,0.27
Fall River,0.15,0.46,0.17,0.23,0.31,0.08,0.13,0.18,0.21
Falmouth,0.11,0.51,0.22,0.58,0.37,0.13,0.2,0.21,0.29
Fitchburg,0.19,0.48,0.16,0.21,0.44,0.18,0.09,0.18,0.24
Florida,0.06,0.95,0.28,0.3,0.41,0.2,0.06,0.19,0.31
Foxborough,0.1,0.48,0.29,0.57,0.7,0.0,0.2,0.16,0.31
Framingham,0.2,0.44,0.15,0.51,0.75,0.14,0.24,0.14,0.32
Franklin,0.17,0.47,0.26,0.58,0.79,0.3,0.21,0.11,0.36
Freetown,0.04,0.67,0.34,0.52,0.77,0.23,0.17,0.14,0.36
Gardner,0.13,0.5,0.16,0.36,0.48,0.04,0.11,0.16,0.24
Georgetown,0.05,0.52,0.14,0.61,0.78,0.14,0.25,0.13,0.33
Gill,0.21,0.95,0.17,0.46,0.87,0.0,0.1,0.19,0.37
Gloucester,0.2,0.54,0.12,0.49,0.51,0.11,0.27,0.14,0.3
Goshen,0.07,0.96,0.04,0.57,0.94,0.0,0.27,0.1,0.37
Gosnold,0.74,1.0,0.25,1.0,0.27,0.0,0.38,0.2,0.48
Grafton,0.11,0.48,0.37,0.61,0.78,0.1,0.24,0.12,0.35
Granby,0.03,0.7,0.13,0.5,0.71,0.0,0.08,0.11,0.28
Granville,0.04,0.95,0.33,0.38,0.68,0.0,0.18,0.1,0.33
Great Barrington,0.32,0.93,0.31,0.45,0.39,0.17,0.12,0.14,0.35
Greenfield,0.13,0.95,0.1,0.56,0.58,0.32,0.09,0.18,0.36
Groton,0.11,0.65,0.37,0.66,0.65,0.19,0.2,0.11,0.37
Groveland,0.09,0.54,0.16,0.44,0.66,0.17,0.22,0.24,0.32
Hadley,0.06,0.7,0.12,0.62,0.51,0.44,0.25,0.13,0.35
Halifax,0.13,0.61,0.16,0.22,0.72,0.04,0.18,0.12,0.27
Hamilton,0.22,0.55,0.28,0.67,0.64,0.18,0.46,0.12,0.39
Hampden,0.07,0.71,0.26,0.51,0.54,0.06,0.0,0.12,0.28
Hancock,0.07,0.95,0.14,0.72,0.75,0.0,0.12,0.13,0.36
Hanover,0.15,0.47,0.14,0.49,0.64,0.41,0.25,0.12,0.33
Hanson,0.14,0.52,0.19,0.48,0.79,0.06,0.23,0.13,0.32
Hardwick,0.09,0.96,0.34,0.48,0.36,0.0,0.15,0.17,0.32
Harvard,0.11,0.84,0.21,0.79,0.43,0.18,0.38,0.12,0.38
Harwich,0.08,0.51,0.25,0.22,0.37,0.19,0.16,0.13,0.24
Hatfield,0.09,0.96,0.24,0.6,0.65,0.0,0.16,0.16,0.36
Haverhill,0.17,0.46,0.19,0.49,0.68,0.15,0.16,0.16,0.31
Hawley,0.22,0.95,0.3,0.07,0.5,0.0,0.05,0.3,0.3
Heath,0.05,0.94,0.08,0.7,0.54,0.0,0.1,0.07,0.31
Hingham,0.33,0.49,0.37,0.72,0.51,0.34,0.3,0.12,0.4
Hinsdale,0.06,0.83,0.05,0.59,0.7,0.0,0.11,0.17,0.31
Holbrook,0.26,0.47,0.19,0.37,0.5,0.11,0.13,0.14,0.27
Holden,0.05,0.55,0.27,0.47,0.76,0.16,0.13,0.11,0.31
Holland,0.07,0.95,0.19,0.44,0.7,0.0,0.1,0.14,0.32
Holliston,0.11,0.48,0.26,0.66,0.76,0.08,0.21,0.11,0.33
Holyoke,0.16,0.46,0.15,0.32,0.4,0.24,0.09,0.37,0.27
Hopedale,0.14,0.48,0.08,0.58,0.7,0.0,0.21,0.16,0.29
Hopkinton,0.17,0.56,0.64,0.72,0.8,0.13,0.35,0.11,0.43
Hubbardston,0.04,0.94,0.18,0.75,0.81,0.0,0.11,0.21,0.38
Hudson,0.07,0.48,0.15,0.59,0.72,0.21,0.22,0.1,0.32
Hull,0.29,0.5,0.21,0.52,0.67,0.11,0.16,0.17,0.33
Huntington,0.04,0.95,0.15,0.53,0.73,0.29,0.14,0.06,0.36
Ipswich,0.12,0.62,0.11,0.61,0.66,0.11,0.21,0.12,0.32
Kingston,0.08,0.51,0.1,0.67,0.73,0.05,0.17,0.12,0.3
Lakeville,0.08,0.71,0.26,0.52,0.8,0.16,0.12,0.16,0.35
Lancaster,0.07,0.63,0.27,0.65,0.55,0.22,0.12,0.13,0.33
Lanesborough,0.09,0.75,0.18,0.52,0.76,0.0,0.1,0.16,0.32
Lawrence,0.33,0.41,0.14,0.14,0.24,0.16,0.11,0.12,0.21
Lee,0.13,0.94,0.21,0.56,0.5,0.1,0.11,0.14,0.34
Leicester,0.08,0.6,0.15,0.5,0.74,0.05,0.13,0.12,0.3
Lenox,0.05,0.9,0.2,0.59,0.28,0.12,0.2,0.12,0.31
Leominster,0.12,0.47,0.15,0.46,0.65,0.2,0.15,0.14,0.29
Leverett,0.06,0.96,0.17,0.44,0.64,0.0,0.19,0.12,0.32
Lexington,0.21,0.44,0.3,0.87,0.53,0.48,0.35,0.21,0.42
Leyden,0.02,0.97,0.35,0.74,0.83,0.0,0.12,0.14,0.4
Lincoln,0.22,0.63,0.16,0.75,0.38,0.08,0.47,0.11,0.35
Littleton,0.1,0.52,0.22,0.68,0.67,0.16,0.22,0.11,0.34
Longmeadow,0.07,0.47,0.19,0.71,0.53,0.38,0.22,0.11,0.34
Lowell,0.23,0.42,0.14,0.36,0.53,0.15,0.13,0.17,0.27
Ludlow,0.06,0.54,0.27,0.53,0.55,0.14,0.12,0.15,0.3
Lunenburg,0.05,0.61,0.26,0.59,0.71,0.16,0.15,0.13,0.33
Lynn,0.39,0.42,0.14,0.27,0.48,0.11,0.14,0.17,0.26
Lynnfield,0.1,0.47,0.26,0.6,0.62,0.24,0.52,0.11,0.36
Malden,0.68,0.41,0.17,0.34,0.59,0.18,0.19,0.12,0.34
Manchester-by-the-Sea,0.32,0.57,0.21,0.74,0.56,0.17,0.46,0.14,0.4
Mansfield,0.2,0.46,0.31,0.63,0.94,0.19,0.26,0.12,0.39
Marblehead,0.22,0.48,0.28,0.65,0.57,0.23,0.41,0.12,0.37
Marion,0.1,0.57,0.05,0.64,0.33,0.0,0.33,0.12,0.27
Marlborough,0.13,0.46,0.15,0.47,0.79,0.28,0.24,0.14,0.33
Marshfield,0.11,0.52,0.3,0.55,0.69,0.15,0.23,0.12,0.33
Mashpee,0.1,0.5,0.17,0.51,0.42,0.15,0.16,0.15,0.27
Mattapoisett,0.02,0.73,0.41,0.28,0.55,0.14,0.3,0.12,0.32
Maynard,0.14,0.48,0.38,0.6,0.88,0.09,0.14,0.14,0.36
Medfield,0.24,0.49,0.23,0.65,0.71,0.24,0.48,0.07,0.39
Medford,0.48,0.45,0.21,0.48,0.73,0.22,0.22,0.11,0.36
