index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Medway,0.1,0.47,0.32,0.62,0.95,0.11,0.24,0.11,0.36
Melrose,0.43,0.47,0.21,0.54,0.81,0.29,0.25,0.11,0.39
Mendon,0.12,0.73,0.26,0.56,0.91,0.05,0.28,0.15,0.38
Merrimac,0.1,0.54,0.1,0.48,0.67,0.09,0.25,0.11,0.29
Methuen,0.1,0.45,0.17,0.42,0.72,0.26,0.16,0.15,0.3
Middleborough,0.06,0.69,0.2,0.47,0.6,0.12,0.19,0.14,0.31
Middlefield,0.02,0.97,0.2,0.56,0.94,0.0,0.13,0.09,0.36
Middleton,0.09,0.54,0.11,0.33,0.55,0.19,0.26,0.11,0.27
Milford,0.12,0.46,0.35,0.46,0.79,0.29,0.15,0.12,0.34
Millbury,0.1,0.52,0.09,0.46,0.72,0.07,0.16,0.12,0.28
Millis,0.1,0.54,0.16,0.53,0.56,0.11,0.19,0.08,0.28
Millville,0.06,0.59,0.31,0.43,0.86,0.0,0.12,0.12,0.31
Milton,0.33,0.43,0.25,0.6,0.65,0.13,0.26,0.11,0.34
Monroe,0.0,0.97,0.12,0.42,0.0,0.0,0.06,0.1,0.21
Monson,0.04,0.81,0.25,0.54,0.67,0.03,0.12,0.18,0.33
Montague,0.15,0.95,0.2,0.46,0.48,0.14,0.11,0.14,0.33
Monterey,0.22,0.96,0.2,0.44,0.49,0.0,0.2,0.14,0.33
Montgomery,0.03,0.96,0.15,0.28,0.74,0.0,0.22,0.1,0.31
Mount Washington,0.18,0.97,0.15,0.65,0.18,0.0,0.12,0.1,0.29
Nahant,0.19,0.5,0.25,0.74,0.72,0.0,0.48,0.14,0.38
Nantucket,0.3,0.93,0.25,0.45,0.95,0.17,0.65,0.17,0.48
Natick,0.2,0.46,0.18,0.62,0.79,0.27,0.22,0.11,0.36
Needham,0.24,0.46,0.21,0.76,0.63,0.32,0.32,0.12,0.38
New Ashford,0.07,0.96,0.35,0.51,0.44,0.0,0.12,0.17,0.33
New Bedford,0.22,0.44,0.15,0.18,0.41,0.16,0.11,0.22,0.24
New Braintree,0.06,0.94,0.21,0.61,0.61,0.0,0.2,0.17,0.35
New Marlborough,0.11,0.97,0.25,0.44,0.39,0.0,0.13,0.07,0.3
New Salem,0.08,0.95,0.21,0.27,0.49,0.0,0.06,0.04,0.26
Newbury,0.15,0.69,0.19,0.85,0.67,0.05,0.26,0.14,0.37
Newburyport,0.16,0.49,0.25,0.62,0.64,0.32,0.18,0.13,0.35
Newton,0.33,0.45,0.24,0.78,0.64,0.31,0.46,0.11,0.42
Norfolk,0.22,0.48,0.42,0.76,0.55,0.18,0.27,0.11,0.37
North Adams,0.27,0.94,0.14,0.33,0.27,0.22,0.08,0.19,0.31
North Andover,0.11,0.48,0.1,0.6,0.7,0.31,0.28,0.14,0.34
North Attleborough,0.14,0.47,0.3,0.56,0.81,0.19,0.24,0.11,0.35
North Brookfield,0.1,0.94,0.28,0.42,0.67,0.0,0.13,0.18,0.34
North Reading,0.11,0.48,0.36,0.59,0.77,0.12,0.24,0.13,0.35
Northampton,0.26,0.5,0.12,0.72,0.63,0.33,0.15,0.16,0.36
Northborough,0.09,0.5,0.24,0.61,0.77,0.26,0.24,0.13,0.36
Northbridge,0.07,0.49,0.22,0.46,0.76,0.13,0.14,0.13,0.3
Northfield,0.1,0.95,0.2,0.2,0.67,0.0,0.12,0.17,0.3
Norton,0.17,0.53,0.26,0.52,0.82,0.08,0.11,0.1,0.32
Norwell,0.19,0.52,0.48,0.68,0.66,0.33,0.36,0.11,0.42
Norwood,0.24,0.47,0.23,0.52,0.71,0.33,0.2,0.14,0.36
Oak Bluffs,0.06,0.93,0.45,0.5,0.71,0.01,0.2,0.2,0.38
Oakham,0.1,0.95,0.05,0.63,0.71,0.0,0.11,0.11,0.33
Orange,0.14,0.95,0.21,0.72,0.3,0.11,0.06,0.14,0.33
Orleans,0.09,0.58,0.1,0.66,0.13,0.4,0.31,0.13,0.3
Otis,0.04,0.97,0.13,0.54,0.55,0.2,0.13,0.22,0.35
Oxford,0.05,0.58,0.28,0.33,0.75,0.09,0.11,0.13,0.29
Palmer,0.11,0.57,0.19,0.48,0.5,0.13,0.11,0.19,0.28
Paxton,0.09,0.73,0.26,0.23,0.63,0.12,0.15,0.12,0.29
Peabody,0.15,0.48,0.19,0.41,0.57,0.31,0.28,0.13,0.31
Pelham,0.01,0.86,0.2,0.71,0.59,0.0,0.17,0.1,0.33
Pembroke,0.12,0.49,0.27,0.56,0.86,0.07,0.16,0.12,0.33
Pepperell,0.05,0.67,0.25,0.54,0.74,0.08,0.19,0.13,0.33
Peru,0.04,0.95,0.06,0.38,0.84,0.0,0.08,0.01,0.3
Petersham,0.08,0.96,0.15,0.55,0.42,0.0,0.13,0.19,0.31
Phillipston,0.07,0.95,0.23,0.58,0.5,0.0,0.1,0.11,0.32
Pittsfield,0.15,0.5,0.16,0.43,0.51,0.27,0.09,0.2,0.29
Plainfield,0.08,0.96,0.24,0.48,0.78,0.0,0.12,0.07,0.34
Plainville,0.08,0.51,0.42,0.31,0.9,0.2,0.21,0.11,0.34
Plymouth,0.13,0.53,0.18,0.43,0.62,0.2,0.18,0.13,0.3
Plympton,0.12,0.89,0.05,0.24,0.59,0.0,0.19,0.11,0.27
Princeton,0.06,0.95,0.02,0.48,0.72,0.0,0.19,0.12,0.32
Provincetown,0.54,0.97,0.23,0.42,0.41,0.1,0.33,0.17,0.4
Quincy,0.59,0.43,0.16,0.45,0.68,0.27,0.22,0.14,0.37
Randolph,0.24,0.4,0.16,0.27,0.36,0.12,0.19,0.16,0.24
Raynham,0.12,0.48,0.1,0.51,0.73,0.28,0.16,0.15,0.32
Reading,0.2,0.47,0.16,0.6,0.79,0.19,0.27,0.11,0.35
Rehoboth,0.07,0.88,0.18,0.56,0.86,0.1,0.18,0.12,0.37
Revere,0.61,0.45,0.19,0.29,0.41,0.16,0.17,0.14,0.3
Richmond,0.06,0.94,0.28,0.47,0.55,0.0,0.17,0.22,0.34
Rochester,0.08,0.91,0.31,0.59,0.71,0.0,0.17,0.12,0.36
Rockland,0.15,0.47,0.25,0.45,0.78,0.05,0.18,0.11,0.3
Rockport,0.24,0.53,0.22,0.58,0.42,0.08,0.72,0.11,0.36
Rowe,0.17,0.96,0.47,0.33,0.46,0.0,0.09,0.06,0.32
Rowley,0.18,0.6,0.0,0.55,0.7,0.15,0.33,0.15,0.33
Royalston,0.06,0.95,0.12,0.41,0.57,0.0,0.08,0.08,0.28
Russell,0.04,0.79,0.21,0.27,0.65,0.0,0.08,0.13,0.27
Rutland,0.03,0.74,0.2,0.58,0.77,0.04,0.18,0.14,0.34
Salem,0.35,0.45,0.16,0.21,0.69,0.22,0.19,0.16,0.3
Salisbury,0.13,0.54,0.14,0.37,0.46,0.1,0.13,0.2,0.26
Sandisfield,0.1,0.96,0.26,0.5,0.45,0.0,0.13,0.12,0.32
Sandwich,0.04,0.49,0.15,0.49,0.63,0.17,0.19,0.13,0.29
Saugus,0.22,0.48,0.14,0.41,0.58,0.15,0.22,0.13,0.29
Savoy,0.02,0.95,0.22,0.25,0.59,0.0,0.07,0.13,0.28
Scituate,0.24,0.51,0.16,0.61,0.62,0.13,0.31,0.04,0.33
Seekonk,0.09,0.52,0.21,0.52,0.76,0.21,0.25,0.19,0.34
Sharon,0.35,0.49,0.39,0.77,0.8,0.19,0.32,0.12,0.43
Sheffield,0.12,0.96,0.1,0.67,0.64,0.09,0.17,0.0,0.34
Shelburne,0.14,0.96,0.13,0.9,0.39,0.15,0.12,0.11,0.36
Sherborn,0.19,0.79,0.19,0.82,0.65,0.14,0.44,0.12,0.42
Shirley,0.13,0.59,0.46,0.32,0.4,0.08,0.17,0.11,0.28
Shrewsbury,0.11,0.44,0.32,0.67,0.7,0.15,0.18,0.11,0.34
Shutesbury,0.04,0.95,0.2,0.55,0.7,0.0,0.16,0.21,0.35
Somerset,0.04,0.49,0.21,0.33,0.42,0.07,0.12,0.14,0.23
Somerville,0.85,0.45,0.25,0.46,1.0,0.15,0.23,0.12,0.44
South Hadley,0.22,0.47,0.18,0.56,0.53,0.08,0.14,0.12,0.29
Southampton,0.02,0.86,0.22,0.51,0.61,0.19,0.23,0.11,0.34
Southborough,0.08,0.46,0.2,0.79,0.74,0.12,0.28,0.12,0.35
Southbridge,0.16,0.51,0.16,0.16,0.56,0.14,0.1,0.2,0.25
Southwick,0.05,0.7,0.32,0.49,0.58,0.15,0.12,0.14,0.32
Spencer,0.1,0.64,0.23,0.48,0.59,0.1,0.11,0.13,0.3
Springfield,0.25,0.41,0.13,0.0,0.37,0.15,0.08,0.22,0.2
Sterling,0.06,0.76,0.28,0.69,0.58,0.11,0.14,0.12,0.34
Stockbridge,0.11,0.96,0.11,0.71,0.44,0.27,0.17,0.16,0.37
Stoneham,0.18,0.48,0.28,0.52,0.73,0.31,0.23,0.12,0.36
Stoughton,0.21,0.46,0.21,0.47,0.64,0.29,0.18,0.14,0.33
Stow,0.09,0.65,0.92,0.35,0.82,0.04,0.31,0.11,0.41
Sturbridge,0.04,0.69,0.25,0.77,0.65,0.16,0.14,0.21,0.36
Sudbury,0.08,0.48,0.24,0.75,0.65,0.4,0.52,0.12,0.4
Sunderland,0.38,0.9,0.07,0.46,0.94,0.08,0.17,0.11,0.39
Sutton,0.07,0.65,0.19,0.52,0.78,0.03,0.08,0.14,0.31
Swampscott,0.26,0.48,0.27,0.61,0.61,0.4,0.15,0.11,0.36
Swansea,0.04,0.58,0.16,0.51,0.72,0.15,0.13,0.12,0.3
Taunton,0.11,0.49,0.22,0.33,0.6,0.12,0.15,0.14,0.27
Templeton,0.07,0.72,0.1,0.49,0.71,0.0,0.18,0.13,0.3
Tewksbury,0.08,0.48,0.16,0.53,0.72,0.2,0.25,0.16,0.32
Tisbury,0.31,0.94,0.17,0.45,0.72,0.5,0.27,0.14,0.44
Tolland,0.08,0.96,0.14,0.49,0.65,0.0,0.02,0.12,0.31
Topsfield,0.04,0.55,0.31,0.75,0.57,0.28,0.31,0.11,0.36
Townsend,0.04,0.71,0.18,0.87,0.87,0.1,0.22,0.1,0.39
Truro,0.03,0.98,0.35,0.32,0.47,0.17,0.43,0.12,0.36
Tyngsborough,0.06,0.48,0.06,0.51,0.94,0.17,0.25,0.15,0.33
Tyringham,0.16,0.98,0.54,0.55,0.3,0.0,0.43,0.2,0.4
Upton,0.07,0.66,0.36,0.56,0.85,0.08,0.23,0.16,0.37
Uxbridge,0.03,0.56,0.13,0.48,0.79,0.04,0.2,0.24,0.31
Wakefield,0.2,0.48,0.25,0.57,0.78,0.26,0.2,0.15,0.36
Wales,0.03,0.95,0.12,0.64,0.51,0.0,0.08,0.1,0.3
Walpole,0.21,0.47,0.15,0.57,0.7,0.24,0.24,0.14,0.34
Waltham,0.29,0.43,0.21,0.36,0.72,0.18,0.25,0.14,0.32
Ware,0.08,0.94,0.11,0.45,0.53,0.09,0.11,0.18,0.31
Wareham,0.06,0.51,0.18,0.42,0.62,0.17,0.12,0.15,0.28
Warren,0.04,0.94,0.16,0.49,0.57,0.0,0.12,0.23,0.32
Warwick,0.05,0.97,0.51,0.67,0.5,0.0,0.1,0.26,0.38
Washington,0.02,0.97,0.36,0.48,0.57,0.0,0.23,0.14,0.35
Watertown,0.39,0.47,0.27,0.47,0.86,0.21,0.24,0.12,0.38
Wayland,0.13,0.48,0.45,0.81,0.76,0.2,0.34,0.1,0.41
Webster,0.11,0.48,0.18,0.42,0.46,0.09,0.17,0.16,0.26
Wellesley,0.38,0.43,0.12,0.81,0.44,0.48,0.76,0.12,0.44
Wellfleet,0.13,0.88,0.34,0.61,0.21,0.29,0.2,0.12,0.35
Wendell,0.14,0.96,0.06,0.46,0.51,0.0,0.07,0.32,0.31
Wenham,0.26,0.52,0.02,0.67,0.44,0.06,0.43,0.1,0.31
West Boylston,0.1,0.58,0.17,0.62,0.1,0.15,0.17,0.13,0.25
West Bridgewater,0.12,0.51,0.23,0.56,0.57,0.29,0.24,0.17,0.34
West Brookfield,0.11,0.95,0.09,0.25,0.48,0.16,0.11,0.1,0.28
West Newbury,0.11,0.74,0.54,0.42,0.71,0.0,0.66,0.14,0.42
West Springfield,0.13,0.46,0.19,0.47,0.61,0.31,0.12,0.19,0.31
West Stockbridge,0.04,0.94,0.19,0.54,0.86,0.0,0.16,0.16,0.36
West Tisbury,0.16,0.97,0.1,0.98,0.48,0.0,0.54,0.12,0.42
Westborough,0.13,0.46,0.28,0.74,0.78,0.43,0.23,0.11,0.4
Westfield,0.07,0.49,0.18,0.49,0.55,0.12,0.15,0.12,0.27
Westford,0.05,0.45,0.14,0.73,0.83,0.25,0.29,0.13,0.36
Westhampton,0.03,0.95,0.08,0.74,0.93,0.0,0.15,0.11,0.37
Westminster,0.11,0.74,0.15,0.48,0.83,0.04,0.16,0.12,0.33
Weston,0.16,0.45,0.15,0.78,0.44,0.27,0.86,0.11,0.4
Westport,0.04,0.71,0.2,0.61,0.46,0.13,0.15,0.14,0.3
Westwood,0.33,0.47,0.44,0.65,0.7,0.14,0.5,0.13,0.42
Weymouth,0.23,0.47,0.24,0.47,0.65,0.2,0.17,0.15,0.32
Whately,0.08,0.96,0.2,0.9,0.84,0.0,0.1,0.13,0.4
Whitman,0.09,0.47,0.25,0.48,0.84,0.06,0.18,0.14,0.31
Wilbraham,0.07,0.54,0.13,0.51,0.65,0.2,0.13,0.14,0.3
Williamsburg,0.08,0.89,0.26,0.57,0.78,0.0,0.15,0.14,0.36
Williamstown,0.59,0.9,0.06,0.78,0.33,0.15,0.19,0.12,0.39
Wilmington,0.12,0.47,0.15,0.53,0.8,0.18,0.15,0.12,0.32
Winchendon,0.11,0.67,0.27,0.4,0.72,0.06,0.11,0.15,0.31
Winchester,0.27,0.46,0.35,0.76,0.68,0.47,0.67,0.11,0.47
Windsor,0.03,0.96,0.21,0.7,0.66,0.0,0.1,0.2,0.36
Winthrop,0.49,0.48,0.18,0.45,0.65,0.08,0.21,0.13,0.33
Woburn,0.16,0.46,0.19,0.49,0.75,0.21,0.2,0.14,0.32
Worcester,0.23,0.43,0.16,0.19,0.39,0.25,0.12,0.17,0.24
Worthington,0.08,0.96,0.32,0.37,0.83,1.0,0.1,0.19,0.48
Wrentham,0.17,0.54,0.19,0.73,0.77,0.11,0.2,0.12,0.35
Yarmouth,0.12,0.51,0.18,0.48,0.37,0.17,0.14,0.17,0.27
